id,org,dept,name,description,Economy,economy_coded
280,"Beaumont, AB",Utilities,Drinking Water Management Plan,Creating a plan and establishing communication protocol to ensure continued wastewater collection and treatment and maintain regulatory requirements. Includes the completion and submission of required reports to regulatory agency. Inspections at a home or business to verify water and wastewater compliance ,4,1
285,"Beaumont, AB",Utilities,Utility Project Management,"Manage planned and unplanned subsurface repair and replacement projects such as water service lines, hydrants, valves and mains ",4,1
286,"Beaumont, AB",Utilities,Utility Operations,"Resevoirs, pumps, piping, valves and controls associated with the delivery of drinking water into the linear piping system. Inspection and maintenance of sanitary and stormwater lift stations. Ensure the continious control and montioring of all water utility discreet and analog measuments. Includes the assessment and integration of new montioring devices and infrastructure assets within an established control framework. Operation of linear water piping system valves to ensure proper accessability and function. Repair and replace as needed. Periodic flushing on system water lines to maintain and clean the water distribution system to ensure proper chlorine residuals are present in the entire system. On call personnel are ready to respond 24 7 to irregular operations or emergencies in the water system. Samples are collected and sent to qualifies laboratory to verify water quality meets regulatory requirements. ",4,1
287,"Beaumont, AB",Infrastructure,Solid Waste Operations,"Collection of Organics, Recycling and Solid waste from  residential customers and city facilites. Ordering and drop off of collection bins to new residences. Develop and coordinate special events such as large item pickup and the annual Household Hazardous Waste collection event. ",4,1
288,"Beaumont, AB",Utilities,Utility Master Plan,Manage existing water resources and evaluate potential future system demands and growth plans ,4,1
299,"Beaumont, AB",Infrastructure,Life Safety Systems,"Fire systems inspection, maintenance, and repairs",4,1
404,"Beaumont, AB",Planning & Development,Regional/Intermunicipal/Intergovernmental Coordination and Collaboration,Support regional efforts through participation in regional/intermunicipal matters and to advance shared interests with other municipalities and other regional organizations.,4,1
589,"Beaumont, AB",Council,Council Governance,"Through roles and obligations set out in the Municipal Government Act and other legislation, council provides leadership and direction for the City. This includes review and approval of bylaws, policies, programs and budgets that benefit residents and businesses as well as development and review/update of strategic plan providing direction to administration on community priorities. Councillors also represent the City on various boards and committees. ",4,1
594,"Beaumont, AB",Economic Development,Investment Attraction,"Ongoing assessment and review of community investment readiness; competitive advantages, refine/target key markets for investment attraction; engage with site selectors; and, develop foreign direct investment strategy to further expand the community's economic base. ",4,1
598,"Beaumont, AB",Economic Development,Support Regional and Beyond Economic Initiatives,"Actively engaged and involved with organizations that support local regional/economic growth through attracting investment to the City; promoting the City abroad; foster/grow regional clusters/ecosystems and align/support the City's economic development objectives and targets. These include Edmonton Global, E-RIN, etc.",4,1
601,"Beaumont, AB",Economic Development,Strategic Partnership Development / Mgmt,Develop and foster strong mutually beneficial relationships with key strategic partners that can advance the City's strategic objectives. These strategic partnerships tend to have a higher profile (beyond just the local level); higher value (financial or other); and also have a high potential to attract new opportunities to the City. (ie. broadband partners),4,1
645,"Beaumont, AB",Library,Outreach and Relationship Building,"Connecting, collaborating and building relationships with community organizations, City of Beaumont, City Council, regional partners. ",4,1
649,"Beaumont, AB",CAO Office,Community and Stakeholder Relations,"Building and maintaining relationships with community, responding to inquiries/ concerns and communicating with public
about council decisions and priorities.",4,1
656,"Beaumont, AB",Corporate Analytics & Technology,IT - Infrastructure,"The IT - Infrastructure program is responsible for designing, engineering and managing our network and all connected devices. These devices include all servers, switches and data pathways. ",4,1
701,"Beaumont, AB",Infrastructure,Project Master Planning,"Lifecycle planning  and overall Master planning of Infrastruture elements such as utilities, parks and assets ",4,1
702,"Beaumont, AB",Infrastructure,Contract Administration,"Oversee the administration of all City Contracts, including notifying internal contract owners of upcoming contract renewals or expiries, developing contract documents, public posting of competitive bids, notifying parties of bid status and award",4,1
51,"Boise, ID",Airport,Airfield,"The Airfield service group consists of the expenses and associated landing fee revenue collected from the airlines to maintain the airfield (runways, taxiways, and aprons).",4,1
52,"Boise, ID",Airport,Air Service Development & Promotion,The Air Service Development service group consists of the expenses associated with attracting new air service from Boise.,4,1
55,"Boise, ID",Airport,Airport Parking,"The Airport Parking service group consists of the revenue from parking fees and ground transportation and the expense of parking management, maintenance and debt service on the parking garage.",4,1
59,"Boise, ID",Airport,Terminal - Airline/Public Areas,"The Terminal - Airline/Public Areas service group consists of the costs to operate and maintain the airport terminal building and the revenue from terminal space rent, airline rents, and concessions from revenue generated in the terminal based on contract agreements.",4,1
68,"Boise, ID",City Council,City Council,none,4,1
73,"Boise, ID",Contractual Services,VRT: Bus Operations (within City Limits),none,4,1
245,"Boise, ID",Office of the Mayor,Economic Development,Attracts businesses to the community and works with local businesses to ensure success in the area,4,1
374,"Boise, ID",Police,Bike Patrol,"Focuses its efforts on the safety of the Greenbelt, parks, and downtown areas.",4,1
392,"Boise, ID",Police,Patrol Unit,Responds to all emergency and other calls for service in the City.  This unit includes patrol officers as well as community service specialists.,4,1
424,"Boise, ID",Public Works,Water Renewal Facility Maintenance & Asset Mgmt,Municipal wastewater treatment has regulatory and public health requirements. The city reclaims an average of 30 million gallons daily which is then returned to the Boise River from two water renewal facilities. Additional water treatment occurs at the Dixie Drain Phosphorus Removal facility.  The value of these  facilities total  more than 1 billion dollars. This budgetary program includes staff and other costs associated with treatment facility maintenance  plus a comprehensive utility-wide asset management program with database.,4,1
426,"Boise, ID",Public Works,Collections System Maintenance & Rehabilitation,"Ongoing repairs and maintenance to the wastewater collection system including root removal, line cleaning, odor control and rehabilitation of aging sanitary sewer collection infrastructure.",4,1
428,"Boise, ID",Public Works,Water Renewal Facility Operations,"Municipal wastewater treatment has regulatory and public health requirements. The city reclaims an average of 30 million gallons daily which is then returned to the Boise River from two water renewal facilities. Additional water treatment is provided at the Dixie Drain Phosphorus Removal facility.  This budgetary program includes staff, power, chemical, and other costs to operate these facilities.",4,1
430,"Boise, ID",Public Works,Used Water Collection Services,"Municipal wastewater treatment has regulatory and public health requirements. The city  operates and maintains over 930 miles of sewer pipe, 27 liftstations, odor control  and other infrastructure as an average of 30 million gallons daily of used water travels to the water renewal facilities. This budgetary program includes  all costs to successfully operate, monitor and maintain this system including 24/7 response for emergencies.",4,1
71,Duluth,Budget Office,Tourism,Sales tax monies from food and beverage and hotel/motel to be used for tourism and other related activities as dictated by state statutes and city ordinances,4,1
75,Duluth,Planning and Development,"Business Attraction, Retention and Expansion","Staff utilize multiple strategies to attract, retain and expand local businesses including annual BRE (Business Retention & Expansion) Visit Program of one-on-one site visits with local business owners, or convening business interest groups to gain insights to better support specific to our city BRE opportunities for growth. Develop and implement strategies to recruit new businesses and private sector capital investment.",4,1
80,Duluth,Planning and Development,Real Property Acquisition & Ownership,"Staff acquire land and facilities for businesses, housing and mixed-use development projects and maintain, manage, market for sale, and improves real estate as needed. Staff manage multiple leases on DEDA property on an ongoing basis including various public parking lots and the Aviation MRO facility at the airport.",4,1
82,Duluth,Planning and Development,"Branding, Marketing & Communication","The staff market the city and its development opportunities locally, state and nationwide via websites, special events, media ad and branding campaigns.  DEDA staff communicate opportunities and recent development successes.  Staff support multiple websites for DEDA/City business development and special events and also contract with Northspan Group to operate Northland Connection economic development website and Northforce, a Duluth/regional job seeker website.",4,1
85,Duluth,Planning and Development,Brownfield Grant Administration and RLF,"DEDA staff identify underutilized commerical/industrial sites within the city that are polluted with soil and water contaminants (Brownfields) that can be reclaimed (cleaned up) and put back into productive use with assistance of state and federal grants. Manage economic development grant application submissions, implementation, reporting and relationships pertaining to such.",4,1
86,Duluth,Planning and Development,1200 Fund Admin & Support,"PED Staff provide contract management and administration for the non-profit Duluth 1200 Fund. The 1200 Fund's loan programs provide gap financing to support growth of local Duluth businesses when local banks require additional or non-traditional financing. The goal is to increase the number of Duluth businesses, increase job growth, and reestablish use in commercial properties within the City. In 2019, the 1200 Fund created a program to expand childcare spaces in Duluth.",4,1
88,Duluth,Workforce Development,Talent Attraction ,"Develop strategies for attracting, growing and retaining workforce talent in our city by working strategically with economic development partners and undertaking new strategies, securing grant funding, implementing and supporting regional program called Northforce",4,1
90,Duluth,Planning and Development,Economic Development Administration,"Conduct general administration of department such as human resource management, budgeting, billing, invoicing, developing  an annual economic development work plan and implementing. Managing professional service contracts with economic development consultants, architects, real estate appraisers, engineers, financial consultants, attorneys, manage DEDA (Duluth Economic Development Authority Board of 4 citizen appointees and 3 city councilors) and Mayor's Economic Development Coalition monthly meetings (agendas, minutes, resolutions, agreements/contracts, financials, communications, media inquiries, strategy).",4,1
92,Duluth,Planning and Development,Downtown Development,Strategically identify development opportunities and weaknesses related to downtown development and implement action plans to facilitate productive growth. Work with Visit Duluth and other business groups to support Duluth commercial nodes to create special service districts in partnership with interested groups.,4,1
93,Duluth,Planning and Development,TIF District Management,TIF (Tax Increment Financing) is a complex redevelopment incentive that can be deployed to advance catalytic economic development projects but must comply with a myriad of state laws and reports for up to 26 years per project.,4,1
96,Duluth,Planning and Development,Workforce Development Admin,"General administrative management and support of the city's workforce development division (20 employees) and coordinate the activities and meeting agendas of the 45 citizen member workforce development board, its mission, vision, goals, activities per an annual strategic plan that gets created and implemented.  Also grant write and administer multi-million $ of grants from county, state, feds that fund city WFD activities.",4,1
107,Duluth,City Wide Programs,Community Outreach and Relations,"Coordinating and participating in events, celebrations, and meetings designed to educate the community.  Reach out to the community to develop emergency planning, public messaging, community interactions, trust building, growing positive relationships, economic growth opportunities, etc.",4,1
163,Duluth,Construction Services,Development Services,"Planning Division application processes (signs, PC apps, accessory home shares, fences). Engineering application processes. Fire prevention application processes. Construction Services (building code) application processes. External communication, public education, and outreach. Environmental program application processes (erosion control, shoreland, UDC floodplain)",4,1
164,Duluth,Construction Services,MN State Building Code Administration (Other),"Policy development, interpretation, evaluation of alternates, etc. Backflow prevention device testing program",4,1
170,Duluth,Construction Services,Building Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
171,Duluth,Construction Services,Electrical Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
172,Duluth,Construction Services,Mechanical Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
173,Duluth,Construction Services,Plumbing Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
174,Duluth,Construction Services,Building Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
175,Duluth,Construction Services,Electrical Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
176,Duluth,Construction Services,Mechanical Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
177,Duluth,Construction Services,Plumbing Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
178,Duluth,Construction Services,Building Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
179,Duluth,Construction Services,Electrical Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
180,Duluth,Construction Services,Mechanical Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
181,Duluth,Construction Services,Plumbing Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
362,Duluth,Mayor's Office,Boards & Commissions,"Reviewing applications, corresponding with applicants, and appointing members.",4,1
412,Duluth,Parks,Natural Resources Management,"Provide environmental assessment and permitting with local state and federal agencies, invasive species control and management and development of Duluth Natural Areas Program.",4,1
426,Duluth,Planning and Development,Development Services,"Application processes and communication and outreach. Ordinance and official map management. Plan review, development permitting & coordination, development financing (TIF & Tax Abatement). Staff manage economic development project data including government agency required reports, grant administration, financial program data management, available development site data, development incentive data and economic indicator tracking for the city. Staff manage complex projects for the city that grow the tax base and increase employment opportunities and/or eliminate blight and improve bus development conditions and complete grant applications.",4,1
428,Duluth,Planning and Development,Long range planning,Land use & special plans. Census coordination. Sustainability policy,4,1
429,Duluth,Planning and Development,Comprehensive Planning,"Plan development and implementation, CIP Process, Intergovernmental coordination. Reporting & benchmarks. Duluth Legacy Endowment Fund Coordination. Duluth Public Arts Commission Admin & Support-staffed/lead by dept to advance public arts and art related business growth including Duluth Public Arts strategic plan and management of funding to support maintenance of existing public art and creation/siting of new public art citywide. Work to update the City's Comprehensive Land Use Plan and its policies and strategies, create small area development plans and priority re-development sites citywide.",4,1
430,Duluth,Planning and Development,Housing Planning & Coordination,"Housing programs. Project implementation & monitoring. LIHTC process. Homeless programs. Grant Writing. TIF/Tax Abatement Analysis and Coordination. Identify opportunities, seek private sector real developers and incentivize projects that grow tax base and create jobs and new housing. Eliminate blight.",4,1
431,Duluth,Planning and Development,Federal programs and implementation,"Consolidated Plan / Action Plan. Data gathering, input, and analysis. CDBG. HOME . ESG. Wage standards compliance. Section 3/MBWBE/Section 504",4,1
480,Duluth,Public Works and Utilities,Engineering Plan Review and Permitting,none,4,1
481,Duluth,Public Works and Utilities,Engineering Services,"Design, inspection and construction engineering services",4,1
642,Duluth,Workforce Development,Adult,"The Workforce Innovation and Opportunity Act (WIOA) Adult Program provides employment and training services to eligible adults 18 and over who are looking to gain skills and employment.  This includes those who are looking to improve or update work skills, start a new career, or who recently graduated from high-school and need training to help them reach their employment goals.  All services are free and tailored to fit individual needs.",4,1
643,Duluth,Workforce Development,Older Worker,"The City of Duluth's Senior Community Service Employment Program (SCSEP) program helps eligible older workers age 55 or older update their skills for today's work world through work-based and classroom training, career navigation, plus provides tips on the most effective job search techniques. Services are free and tailored to address each individuals specific needs.",4,1
644,Duluth,Workforce Development,Career Pathway Training,"Competitive funding to support short-term training and support services for eligible individuals seeking medical office positions in healthcare, certified nursing assistant career pathways, CDL, machining, carpentry, and careers in the trades..  Funding to support regional initiatives.",4,1
645,Duluth,Workforce Development,MFIP/DWP,"Duluth Workforce Development provides services to recipients of Minnesota Family Investment Program (MFIP) and Diversionary Work Program (DWP) related public assistance programs to help individuals find employment, achieve self-sufficiency and move off of assistance.",4,1
646,Duluth,Workforce Development,Dislocated Worker,"The Dislocated Worker Program serves individuals who have lost their job through no fault of their own with a goal of getting back to work as soon as possible, and minimizing disruptions a layoff may cause..  All services are free and tailored to fit individual needs.",4,1
647,Duluth,Workforce Development,Youth and Young Adult,"The Youth & Young Adult program provides individuals ages 16-24 with employment and training services to  connect them with careers and help them achieve success.  Duluth Workforce Development staff work with schools, nonprofits, private businesses, and other agencies to assist young people by connecting them with career pathways and increasing their employability and earning potential.",4,1
