id,org,dept,name,description,Mandate,bin
221,"Canton, MI",270 - Human Resources,(ADA) Accommodation Request,"Receive, process and coordinate internal/external American With Disabilities Act (ADA) accommodation request and leave of absence request. Provides access to facilities and services of the township.   Documents and provides adjustments as needed for staff and residents.",4,2
834,"Columbia, SC",Planning,2028 Comprehensive Plan,Implementation of the 10 year comprehensive plan for the city,4,2
926,"West Plains, MO",Public Works,24/7 On-Call  Emergency Response,Emergency On Call 24/7. Emergency planning efforts including spill response. Establish a plan and communication protocol to minimize the impact of a spill as well as report the spill to all appropriate agencies.,4,2
1535,Jefferson,Health,"24/7 on-call consultation for communicable disease, emergencies & disasters",The Health Department has an on-call call-up list for medical providers and emergency responders. The majority of the calls are answered by the Director/Health Officer and/or Public Health Program Manager.,4,2
989,"Riverside, CA",Police,290 Sex Registrant Compliance,Register sex offenders residing within the City and attending Riverside Community College,4,2
1328,Tulsa,Police,311 reports,Follow up on 311 reports,4,2
1328,Tulsa Test Liz,Police,311 reports,Follow up on 311 reports,4,2
1361,"Salt Lake City, UT",POLICE DEPARTMENT,5+ Records Management,"Manage police department records including input, auditing, retention, and compliance.",4,2
1473,"Salt Lake City, UT",POLICE DEPARTMENT,5+ Sex Offender Registration and Compliance,Registration and data entry for new and existing registered offenders,4,2
395,"Columbia, SC",Emergency Comm. Center,911 ADMINISTRATIVE SUPPORT,"Administrative Support Services Program encompasses budget preparation and monitoring, purchasing, payroll, contracts, scheduling, timekeeping, and human resource activities.",4,2
408,"Columbia, SC",Emergency Comm. Center,911 Center Equipment Administration Maintenance and Support.,IT System and Administrative Support- Day to Day Operational Support,4,2
231,"Eugene, OR",Police,911 Communications,"911 Emergency Dispatch and Communications services, including Emergency Communications section, and PSAP Operations section.",4,2
1886,Jefferson,Sheriff,911 Communications Call Taking,Answer all public safety emergency calls for service,4,2
938,Tulsa,Police,911 Communications Call Taking,Answer all public safety emergency calls for service.,4,2
938,Tulsa Test Liz,Police,911 Communications Call Taking,Answer all public safety emergency calls for service.,4,2
1885,Jefferson,Sheriff,911 Communications Emergency Dispatch,"Dispatch all public safety emergency calls for service for Fire, EMS, and Law Enforcement",4,2
937,Tulsa,Police,911 Communications Emergency Dispatch,Dispatch all public safety emergency calls for service.,4,2
937,Tulsa Test Liz,Police,911 Communications Emergency Dispatch,Dispatch all public safety emergency calls for service.,4,2
1887,Jefferson,Sheriff,911 Communications Non Emergency Calls,Answer and dispatch all public safety non emergency related calls for service,4,2
939,Tulsa,Police,911 Communications Non Emergency Calls,Answer and dispatch all public safety non emergency related calls for service.,4,2
939,Tulsa Test Liz,Police,911 Communications Non Emergency Calls,Answer and dispatch all public safety non emergency related calls for service.,4,2
905,Flagstaff,04-Police,911 Communications Regional Call Taking and Dispatch,"Call taking, and dispatch all emergency and non-emergency calls for service.Â Strategic planning, supervision and policy development",4,2
1371,Tulsa,Police,911 On Boarding Program,911's On-boarding team contacts the new 911 Telecommunicator before their start date and assigns a mentor to guide the new employee through City policies and procedures and the culture of 911.,4,2
1371,Tulsa Test Liz,Police,911 On Boarding Program,911's On-boarding team contacts the new 911 Telecommunicator before their start date and assigns a mentor to guide the new employee through City policies and procedures and the culture of 911.,4,2
396,"Columbia, SC",Emergency Comm. Center,911 PUBLIC INFORMATION / FOIA,"Maintain FOIA Compliance.  Responds to Requests for Information from User Agencies, Solicitors Office, Public Defenders Office, Attorneys, Media, and the Public. Also responds to Subpoena's and makes Court Appearances.",4,2
