id,org,dept,name,description,Mandate,Reliance,mandate_coded,relince_coded
221,"Canton, MI",270 - Human Resources,(ADA) Accommodation Request,"Receive, process and coordinate internal/external American With Disabilities Act (ADA) accommodation request and leave of absence request. Provides access to facilities and services of the township.   Documents and provides adjustments as needed for staff and residents.",4,0,1,0
834,"Columbia, SC",Planning,2028 Comprehensive Plan,Implementation of the 10 year comprehensive plan for the city,4,4,1,1
926,"West Plains, MO",Public Works,24/7 On-Call  Emergency Response,Emergency On Call 24/7. Emergency planning efforts including spill response. Establish a plan and communication protocol to minimize the impact of a spill as well as report the spill to all appropriate agencies.,4,4,1,1
1535,Jefferson,Health,"24/7 on-call consultation for communicable disease, emergencies & disasters",The Health Department has an on-call call-up list for medical providers and emergency responders. The majority of the calls are answered by the Director/Health Officer and/or Public Health Program Manager.,4,4,1,1
989,"Riverside, CA",Police,290 Sex Registrant Compliance,Register sex offenders residing within the City and attending Riverside Community College,4,4,1,1
1328,Tulsa,Police,311 reports,Follow up on 311 reports,4,4,1,1
1328,Tulsa Test Liz,Police,311 reports,Follow up on 311 reports,4,4,1,1
1361,"Salt Lake City, UT",POLICE DEPARTMENT,5+ Records Management,"Manage police department records including input, auditing, retention, and compliance.",4,4,1,1
1473,"Salt Lake City, UT",POLICE DEPARTMENT,5+ Sex Offender Registration and Compliance,Registration and data entry for new and existing registered offenders,4,4,1,1
395,"Columbia, SC",Emergency Comm. Center,911 ADMINISTRATIVE SUPPORT,"Administrative Support Services Program encompasses budget preparation and monitoring, purchasing, payroll, contracts, scheduling, timekeeping, and human resource activities.",4,4,1,1
408,"Columbia, SC",Emergency Comm. Center,911 Center Equipment Administration Maintenance and Support.,IT System and Administrative Support- Day to Day Operational Support,4,4,1,1
231,"Eugene, OR",Police,911 Communications,"911 Emergency Dispatch and Communications services, including Emergency Communications section, and PSAP Operations section.",4,3,1,0
938,Tulsa,Police,911 Communications Call Taking,Answer all public safety emergency calls for service.,4,4,1,1
938,Tulsa Test Liz,Police,911 Communications Call Taking,Answer all public safety emergency calls for service.,4,4,1,1
1886,Jefferson,Sheriff,911 Communications Call Taking,Answer all public safety emergency calls for service,4,0,1,0
937,Tulsa,Police,911 Communications Emergency Dispatch,Dispatch all public safety emergency calls for service.,4,4,1,1
937,Tulsa Test Liz,Police,911 Communications Emergency Dispatch,Dispatch all public safety emergency calls for service.,4,4,1,1
1885,Jefferson,Sheriff,911 Communications Emergency Dispatch,"Dispatch all public safety emergency calls for service for Fire, EMS, and Law Enforcement",4,0,1,0
939,Tulsa,Police,911 Communications Non Emergency Calls,Answer and dispatch all public safety non emergency related calls for service.,4,4,1,1
939,Tulsa Test Liz,Police,911 Communications Non Emergency Calls,Answer and dispatch all public safety non emergency related calls for service.,4,4,1,1
1887,Jefferson,Sheriff,911 Communications Non Emergency Calls,Answer and dispatch all public safety non emergency related calls for service,4,0,1,0
905,Flagstaff,04-Police,911 Communications Regional Call Taking and Dispatch,"Call taking, and dispatch all emergency and non-emergency calls for service.Â Strategic planning, supervision and policy development",4,4,1,1
1371,Tulsa,Police,911 On Boarding Program,911's On-boarding team contacts the new 911 Telecommunicator before their start date and assigns a mentor to guide the new employee through City policies and procedures and the culture of 911.,4,4,1,1
1371,Tulsa Test Liz,Police,911 On Boarding Program,911's On-boarding team contacts the new 911 Telecommunicator before their start date and assigns a mentor to guide the new employee through City policies and procedures and the culture of 911.,4,4,1,1
396,"Columbia, SC",Emergency Comm. Center,911 PUBLIC INFORMATION / FOIA,"Maintain FOIA Compliance.  Responds to Requests for Information from User Agencies, Solicitors Office, Public Defenders Office, Attorneys, Media, and the Public. Also responds to Subpoena's and makes Court Appearances.",4,4,1,1
405,"Columbia, SC",Emergency Comm. Center,911- Rollover Back-Up Provider,"CRC 911 serves as back-up Public Safety Answering Point  for USC, Forest Acres and Fort Jackson",4,4,1,1
1310,Tulsa,Police,911 Technology,"Management and support of E911 technology, including planning, implementing, upgrading and supporting telecommunication technology for Enhanced 911, NextGen 911, ESNI net, text to 911, multi-media and evolving technology for 911 Telecommunicators.",4,2,1,0
1310,Tulsa Test Liz,Police,911 Technology,"Management and support of E911 technology, including planning, implementing, upgrading and supporting telecommunication technology for Enhanced 911, NextGen 911, ESNI net, text to 911, multi-media and evolving technology for 911 Telecommunicators.",4,2,1,0
2037,"St Albert, AB","Human Resources, Safety and Environment",Abilities and WCB Claims Management,Promote regular attendance and return to work opportunities for employees during temporary and permanent injuries or disabilities.,4,0,1,0
169,"Washington County, WI",County Attorney,Absent Parent Investigations/Locate,Locate absent parents; investigate address and other avenues for locate,4,3,1,0
3915,"Columbia, SC",Council Support Services - Clerk,Acceptance of Service,Accept service of law suits and subpoenas wherein the City of Columbia and/or a City employee is named as a party. Provide notification of the service and forward documentation to the Legal Department.,4,4,1,1
1449,"Lethbridge, AB",Transit,Access A Ride Maintenance,"Daily preventive/corrective maintenance work to ensure commercial vehicle inspection and operability standards are met. Tracking of fleet inventory and actual ""sunk"" costs of the Access A Ride Fleet.",4,4,1,1
210,Marathon,Social Services,Access and Initial Assessment,"7.0 FTE Social Work Staff are responsible for Access and Initial Assessment duties for Child Protective Services as mandated by Chapter 48, WI Statutes. Includes investigations, temporary physical custody (out of home care), dispositional orders, protective plans, safety plans to ensure for safety concerns for children per Department of Children and Families Standards.  Includes screening decisions on maltreatment reports, conducting investigations and court intervention.",4,4,1,1
1212,Meridian,Information Technology,Access Control / VMS,"Management and oversight of system, security, video",4,0,1,0
1020,"Washington County, WI",Sheriff,Accident Investigations,Patrol dedicated time for accident investigations.,4,3,1,0
1665,"Riverside, CA",Police,Accident Investigations and Traffic Collision Reconstruction,Investigate motor accident and reconstruct traffic collision,4,4,1,1
1428,"Salt Lake City, UT",POLICE DEPARTMENT,Accident Investigators - Central,Handles traffic accidents in Districts 3 and 4 that do not involve major accident/fatal,4,4,1,1
1454,"Salt Lake City, UT",POLICE DEPARTMENT,Accident Investigators - Liberty,"Handles traffic accidents in Districts 5, 6, and 7 that do not involve major accident/fatal",4,4,1,1
1410,"Salt Lake City, UT",POLICE DEPARTMENT,Accident Investigators - Pioneer,Handles traffic accidents in Districts 1 and 2 that do not involve major accident/fatal,4,4,1,1
404,"Washington County, WI",Highway,Account Payable Processing,"Receipt, approval, preparation of payment  (including matching and creating purchase orders), entry into job cost software, and reports of vouchers. Issue payments for refunds and reimbursements. Approval and preparation of payment for travel and other expense reimbursements, including entry into job cost software. Reconciliation of vendor statements to general ledger and general ledger accounts to job cost software.",4,4,1,1
145,"Washington County, WI",Clerk of Courts,Account Verification,"Review and approve annual accounts and reports for guardianship, conservator and custodial cases. Inform court official of any inconsistencies. Send notices of overdue accounts; schedule hearings as required; arrange for personal service.",4,4,1,1
149,Lawrence,Finance,Accounting,"Maintains tight control over resources, while also compartmentalizing activities into different funds to gain strong fiscal stewardship.",4,4,1,1
616,"Beaumont, AB",Finance,Accounting & Financial Reporting,"Manage full-cycle accounting and financial reporting processes; prepare and present quarterly and annual financial reports; perform month-end, quarter-end and year-end procedures; coordinate financial statement audit and reporting; ensure compliance with accounting standards and legislation; monitor and maintain effective internal controls.  ",4,4,1,1
1559,"Lees Summit, MO",Finance,Accounting activity,"Records all general ledger transactions in order to prepare financial statements that are in conformity with Generally Accepted Accounting Principles.  Includes, but not limited to, travel request administration, bank reconciliations, and general accounting journal entries.  Maintains records as required under State and Federal regulations and city policy.",4,2,1,0
1512,Jefferson,Health,Accounting Services,"The department accounting is a shared responsibility of the County Finance Department and the Health Department staff. The following services are included: accounts receivable, deposits, accounts payable, purchasing, annual department budget development and monitoring, contract management, grant billing and tracking, financial auditing requests and financial filing/reporting of monthly State CARS expenditure and annual WIMCR reports. Budgets for WIC , Public Health Preparedness & individual grant budgets are submitted on a timely basis. Accounts receivable services include: timely billing to Medicaid & HMOs for prenatal care & HealthCheck services with appropriate ICD10 coding. Timely billing to Medicare B for flu shots, monthly billing for fee-for-service contracts, inter-department billing.",4,3,1,0
