program_id,org,dept,name,description,Safety,safety_coded
1471,"Addison, TX",Airport,Airfield Operations & Maintenance (Movement Area Only),"Generally includes the portion of the airfield within what is designated as the Movement Area of the airport. The Movement Area includes the Primary Runway 15/33, parallel Taxiways Alpha and Bravo, connecting taxiways, and the respective safety areas, all of which are under the direct control of the FAA Control Tower. This portion of the airport is required to be maintained and operated in accordance with FAA standards as agreed in the Airport Sponsor Grant Assurances.",4,1
1554,"Addison, TX",Municipal Court,Court Security,"Off-duty Addison Police Officers provide court security. While acting as Bailiffs, they will screen all persons entering the courtroom. After September 1, 2017, all Bailiffs must become certified court security specialists. Currently, all Bailiffs have received the training to become certified. The funds to support the Bailiffs will be taken out of the Building Security fund.",4,1
1803,"Addison, TX",Police,Special Events,Managing and planning for special events security and operations.,4,1
1804,"Addison, TX",Police,Criminal Investigations Division,Investigators that investigate crime that is occurring within the Town and solve reports.,4,1
1807,"Addison, TX",Police,Patrol,"Answering calls for service, proactive policing, vacation watch service, and parking exemptions.",4,1
1812,"Addison, TX",Police,License Plate Reader,Vigilant Cameras- Program involves costs related to cameras that are in the public reading license plates and providing data for the officers and crime analyst to use such as warrants.,4,1
1814,"Addison, TX",Police,Motor/accidents Investigations,"Involves traffic enforcement, patroling crashes, car seat installations, and accident investigations.",4,1
1878,"Addison, TX",Streets,Signal Repair and Maintenance,Maintenance and repair of traffic signals.,4,1
1879,"Addison, TX",Streets,Sign Repair and Maintenance,Maintenance and repair of traffic signs.,4,1
1880,"Addison, TX",Streets,Street Repair and Maintenance,Maintenance and repair of streets and alleys.,4,1
1882,"Addison, TX",Streets,Street Lighting Repair and Maintenance,Maintenance and repair of street lighting.,4,1
1883,"Addison, TX",Streets,Pavement Markings,Annual maintenance and replacement of pavement markings.,4,1
1898,"Addison, TX",Utilities,Backflow/ Cross-Connection Control Program,Safeguard the public water system from contamination due to cross-connections.,4,1
2387,"Addison, TX",Police,Training,"In-service, quad, updates, certifications, scheduling, DT- training that is required of officers for their certifications, etc.",4,1
2391,"Addison, TX",Police,Forensics,"The forensics program involves costs applicable to storing, collecting evidence and the computer forensics program (digital data collection and storage).",4,1
2393,"Addison, TX",Police,Harris Radio,Equipment and system management,4,1
2397,"Addison, TX",Police,Property/Evidence,Evidence room-property management,4,1
2415,"Addison, TX",Information Technology,License Plate Recognition Network Support ,Support of LPR camera technologies,4,1
2450,"Addison, TX",Police,Crime Scene,"This program involves training and responding to crime scenes, taking necessary photos, and collecting evidence.",4,1
2454,"Addison, TX",Police,Software Management and Compliance,Required software and necessary software,4,1
2455,"Addison, TX",Police,Crime Analytics,Reports of crime stats and reports created by our crime analyst along with other tasks such as reports that need to be reported to the state.,4,1
2541,"Addison, TX",Police,IT Capital Replacement Fund,Funds used to replace and upgrade technology equipment as necessary within the department,4,1
2572,"Addison, TX",Fire,Emergency Medical Services Operations,"Emergency response and management of Emergency Medical Services (EMS) Operations.  Includes daily activities, emergency runs, calls for service, and other requirements of department EMS operations.   Medical supplies/Equipment (repairs, maintenance, acquisition);  Emergicon Billing; ESO; State License; Clinical Laboratory Improvement Amendments (CLIA); Drug Enforcement Administration (DEA); Operative IQ (OP IQ); Texas Ambulance Supplemental Support Payment Program (TASSPP)",4,1
2575,"Addison, TX",Fire,Emergency Medical Services Training,"Training for EMS personnel to maintain compliance with state regulation (Medical Control).  Includes continuing education, hands-on skills assessments, internships and field training exercises. Certification renewals; Field Training Officer",4,1
2576,"Addison, TX",Fire,Fire Prevention/Risk Reduction,"Plan review, inspections and permits for new construction.  Annual inspections for target hazards and key businesses. Code Compliance. Investigation and casework for fire incidents.  Public education through classes and code compliance. Smoke Detector Battery Replacement",4,1
2577,"Addison, TX",Fire,Fire Operations,"Emergency response and management of fire operations.  Includes daily activities, emergency runs, calls for service, and other requirements of fire department function. Hose and ladder testing, gas detectors, preventative maintenance, self-contained breathing apparatus (SCBA), personal protective equipment (PPE); Insurance Services Office (ISO) Requirements, Best Practices Credentialing",4,1
2580,"Addison, TX",Fire,Fire Training,"Training for department personnel to maintain compliance with state regulations.  Includes continuing education, hands-on skills assessments, internships and field training exercises. Certification renewals, Fire Academy, Advanced Law Enforcement Rapid Response Training (ALERRT), Professional Development Classes",4,1
2582,"Addison, TX",Fire,Public Education & Community Outreach,"Station tours, Open House, Santa's Heroes, CPR Program, social media",4,1
2642,"Addison, TX",Information Technology,Security Surveillance Camera Support,Support of surveillance camera technologies,4,1
2656,"Addison, TX",Information Technology,Cloud Web Support,Support of all cloud and web resources and applications,4,1
51,"Boise, ID",Airport,Airfield,"The Airfield service group consists of the expenses and associated landing fee revenue collected from the airlines to maintain the airfield (runways, taxiways, and aprons).",4,1
53,"Boise, ID",Airport,Airport Operations,The Airport Operations service group consists of the costs to operate the general security operations department.,4,1
56,"Boise, ID",Airport,Airport Policing - Terminal,The Airport Policing service group consists primarily of the service level agreement payment to the Boise Police Department for services provided to the Airport. The revenue consists of operating grants from the TSA that provide partial compensation for the provision of the officers at the security checkpoint.,4,1
57,"Boise, ID",Airport,Airport Policing - Canine,The Airport Policing service group consists primarily of the service level agreement payment to the Boise Police Department for services provided to the Airport. The revenue consists of operating grants from the TSA that provide partial compensation for the provision of the police canine unit.,4,1
58,"Boise, ID",Airport,Aircraft Rescue & Firefighting (ARFF),The ARFF service group consists primarily of the service level agreement payment to the Boise Fire Department for services provided to the Airport as well as maintenance and operations cost of the ARFF facility and equipment. The revenue consists of fees charged to external users who use the ARFF training facility.,4,1
121,"Boise, ID",Fire,Fire Code Enforcement: New Construction (Plan Review/Inspection),"PDS/Fire plan review oversite, subdivision plan review, inspections, operational & special events permits",4,1
122,"Boise, ID",Fire,Fire Code Enforcement: Existing Construction,"Existing occupancy maintenance inspections, occupancy license inspections, fire protection systems review/follow-up, code information requests, complaints",4,1
